"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"105","Maxx Williams (FA)","3","3","18","6.0","7","0","0","0","0","0","0","3","4.8","1.6","0.0%"
"106","Cole Turner (WAS)","2","9","23","11.5","18","0","0","0","0","0","0","7","4.3","0.6","1.0%"
"107","Stephen Anderson (FA)","3","7","9","3.0","6","0","0","0","0","0","0","9","3.9","0.4","0.0%"
"108","Sean McKeon (IND)","2","3","11","5.5","10","0","0","0","0","0","0","3","3.1","1.0","0.0%"
"109","Mason Schreck (FA)","2","2","6","3.0","6","0","0","0","0","0","0","2","2.6","1.3","0.0%"
"110","Devin Asiasi (FA)","2","4","5","2.5","6","0","0","0","0","0","0","5","2.5","0.5","0.0%"
"111","Jeremy Ruckert (NYJ)","1","2","8","8.0","8","0","0","0","0","0","0","3","1.8","0.6","0.7%"
"112","Drew Sample (CIN)","2","2","-2","-1.0","2","0","0","0","0","0","0","2","1.8","0.9","0.6%"
"113","Tommy Sweeney (FA)","1","1","7","7.0","7","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"114","Jacob Harris (TB)","1","1","6","6.0","6","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"115","Richard Rodgers (FA)","1","4","4","4.0","4","0","0","0","0","0","0","3","1.4","0.5","0.0%"
"116","Miller Forristall (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"117","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"118","Hunter Long (JAC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"119","Feleipe Franks (ATL)","0","2","0","0","0","0","0","1","0","0","0","7","0.0","0.0","0.0%"
"120","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Jared Pinkney (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"122","Charlie Woerner (ATL)","0","2","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"123","Noah Togiai (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Lawrence Cager (WAS)","13","19","118","9.1","20","1","1","0","0","0","0","6","0.0","0.0","0.0%"
"125","Tanner Conner (MIA)","0","3","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.0%"
"126","Nikola Kalinic (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","Austin Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"128","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Jake Tonges (SF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Chris Pierce Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Tyree Jackson (WAS)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"132","N'Keal Harry (FA)","7","9","116","16.6","49","1","1","0","0","0","0","6","0.0","0.0","0.0%"
"133","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"134","Kevin Rader (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"135","Nick Boyle (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"136","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","2.5%"
"137","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"138","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"139","Patrick Scales (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"140","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"141","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
""
""
