"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"210","C.J. Saunders (FA)","2","2","11","5.5","8","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"211","Jaydon Mickens (FA)","2","3","10","5.0","12","0","0","0","0","0","0","12","3.0","0.3","0.0%"
"212","Davion Davis (FA)","1","3","17","17.0","17","0","0","0","0","0","0","2","2.7","1.4","0.0%"
"213","Frank Darby (FA)","1","4","14","14.0","14","0","0","0","0","0","0","4","2.4","0.6","0.0%"
"214","Kirk Merritt (FA)","1","3","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"215","Andy Isabella (FA)","1","1","13","13.0","13","0","0","0","0","0","0","3","2.3","0.8","0.0%"
"216","Marvin Hall (FA)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"217","Tarik Black (MIA)","1","2","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"218","Tommylee Lewis (FA)","1","2","7","7.0","7","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"219","Miles Boykin (CHI)","1","1","6","6.0","6","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"220","Easop Winston Jr. (FA)","1","1","5","5.0","5","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"221","Keke Coutee (FA)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"222","Malik Taylor (DET)","2","3","14","7.0","7","0","0","0","0","0","1","7","1.4","0.2","0.0%"
"223","Racey McMath (FA)","2","6","8","4.0","9","0","0","0","0","0","1","6","0.8","0.1","0.0%"
"224","Maurice Ffrench (FA)","0","0","0","0","0","0","0","1","3","0","0","2","0.3","0.2","0.0%"
"225","Dan Chisena (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"226","Pooka Williams Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Matt Cole (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Josh Hammond (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","John Hightower (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"230","Antonio Gandy-Golden (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Isaiah Coulter (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Tyrie Cleveland (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"233","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Tutu Atwell (LAR)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","4.5%"
"235","Marquez Stevenson (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"236","Dillon Stoner (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"237","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"238","Landen Akers (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"239","Osirus Mitchell (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"240","Avery Williams (PHI)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.6%"
"241","Jalen Camp (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","Kawaan Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"243","Brandon Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"244","Jacob Harris (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
